symbol,open,high,low,close,volume,timestamp
NIFTY,23151.65,23152,23146.9,23150.45,548430,2026-06-09T10:40:00.000000Z
NIFTY,23151.65,23152,23146.9,23150.45,548430,2026-06-09T10:40:00.000000Z
NIFTY,23150.05,23157.4,23148.45,23156.2,826305,2026-06-09T10:41:00.000000Z
NIFTY,23150.05,23157.4,23148.45,23156.2,826305,2026-06-09T10:41:00.000000Z
NIFTY,23150.05,23157.4,23148.45,23156.2,826305,2026-06-09T10:41:00.000000Z
NIFTY,23150.05,23157.4,23148.45,23156.2,826305,2026-06-09T10:41:00.000000Z
NIFTY,23155.8,23161.2,23155,23158.85,586039,2026-06-09T10:42:00.000000Z
NIFTY,23155.8,23161.2,23155,23158.85,586039,2026-06-09T10:42:00.000000Z
NIFTY,23155.8,23161.2,23155,23158.85,586039,2026-06-09T10:42:00.000000Z
NIFTY,23155.8,23161.2,23155,23158.85,586039,2026-06-09T10:42:00.000000Z
NIFTY,23158.6,23163.25,23158.5,23161.8,461214,2026-06-09T10:43:00.000000Z
NIFTY,23158.6,23163.25,23158.5,23161.8,461214,2026-06-09T10:43:00.000000Z
NIFTY,23158.6,23163.25,23158.5,23161.8,461214,2026-06-09T10:43:00.000000Z
NIFTY,23158.6,23163.25,23158.5,23161.8,461214,2026-06-09T10:43:00.000000Z
NIFTY,23162.3,23165.3,23161.05,23164.55,605368,2026-06-09T10:44:00.000000Z
NIFTY,23162.3,23165.3,23161.05,23164.55,605368,2026-06-09T10:44:00.000000Z
NIFTY,23162.3,23165.3,23161.05,23164.55,605368,2026-06-09T10:44:00.000000Z
NIFTY,23162.3,23165.3,23161.05,23164.55,605368,2026-06-09T10:44:00.000000Z
NIFTY,23163.95,23168.05,23162.85,23166.25,1061403,2026-06-09T10:45:00.000000Z
NIFTY,23163.95,23168.05,23162.85,23166.25,1061403,2026-06-09T10:45:00.000000Z
NIFTY,23163.95,23168.05,23162.85,23166.25,1061403,2026-06-09T10:45:00.000000Z
NIFTY,23163.95,23168.05,23162.85,23166.25,1061403,2026-06-09T10:45:00.000000Z
NIFTY,23166,23167.65,23160.35,23164.2,932777,2026-06-09T10:46:00.000000Z
NIFTY,23166,23167.65,23160.35,23164.2,932777,2026-06-09T10:46:00.000000Z
NIFTY,23166,23167.65,23160.35,23164.2,932777,2026-06-09T10:46:00.000000Z
NIFTY,23166,23167.65,23160.35,23164.2,932777,2026-06-09T10:46:00.000000Z
NIFTY,23164.05,23166.75,23160.35,23160.35,748821,2026-06-09T10:47:00.000000Z
NIFTY,23164.05,23166.75,23160.35,23160.35,748821,2026-06-09T10:47:00.000000Z
NIFTY,23164.05,23166.75,23160.35,23160.35,748821,2026-06-09T10:47:00.000000Z
NIFTY,23164.05,23166.75,23160.35,23160.35,748821,2026-06-09T10:47:00.000000Z
NIFTY,23160.65,23163.8,23154.85,23155.75,493712,2026-06-09T10:48:00.000000Z
NIFTY,23160.65,23163.8,23154.85,23155.75,493712,2026-06-09T10:48:00.000000Z
NIFTY,23160.65,23163.8,23154.85,23155.75,493712,2026-06-09T10:48:00.000000Z
NIFTY,23160.65,23163.8,23154.85,23155.75,493712,2026-06-09T10:48:00.000000Z
NIFTY,23155.15,23155.6,23131.4,23132.2,1125997,2026-06-09T10:49:00.000000Z
NIFTY,23155.15,23155.6,23131.4,23132.2,1125997,2026-06-09T10:49:00.000000Z
NIFTY,23155.15,23155.6,23131.4,23132.2,1125997,2026-06-09T10:49:00.000000Z
NIFTY,23155.15,23155.6,23131.4,23132.2,1125997,2026-06-09T10:49:00.000000Z
NIFTY,23132.15,23136.75,23130.7,23135.8,620674,2026-06-09T10:50:00.000000Z
NIFTY,23132.15,23136.75,23130.7,23135.8,620674,2026-06-09T10:50:00.000000Z
NIFTY,23132.15,23136.75,23130.7,23135.8,620674,2026-06-09T10:50:00.000000Z
